City,County,State,Country
NULL,NULL,NULL,NULL
NULL,NULL,NULL,Afghanistan
NULL,NULL,NULL,Algeria
NULL,NULL,NULL,Argentina
NULL,NULL,NULL,Armenia
NULL,NULL,NULL,Atlantic Ocean Aggregation
NULL,NULL,NULL,Austria
NULL,NULL,NULL,Belgium
NULL,NULL,NULL,Bermuda
NULL,NULL,NULL,Bohemia
NULL,NULL,NULL,Bulgaria
NULL,NULL,NULL,Cambodia
NULL,NULL,NULL,Canada
NULL,NULL,NULL,Chile
NULL,NULL,NULL,China
NULL,NULL,NULL,Cuba
NULL,NULL,NULL,Czechoslovakia
NULL,NULL,NULL,Denmark
NULL,NULL,NULL,Dominican Republic
NULL,NULL,NULL,Ecuador
NULL,NULL,NULL,England
NULL,NULL,NULL,Europe
NULL,NULL,NULL,France
NULL,NULL,NULL,Germany
NULL,NULL,NULL,Great Britain
NULL,NULL,NULL,Greenland
NULL,NULL,NULL,Haiti
NULL,NULL,NULL,Hungary
NULL,NULL,NULL,India
NULL,NULL,NULL,Indonesia
NULL,NULL,NULL,Iran
NULL,NULL,NULL,Ireland
NULL,NULL,NULL,Israel
NULL,NULL,NULL,Italy
NULL,NULL,NULL,Jamaica
NULL,NULL,NULL,Japan
NULL,NULL,NULL,Lebanon
NULL,NULL,NULL,Luxembourg
NULL,NULL,NULL,Mauritius
NULL,NULL,NULL,Mexico
NULL,NULL,NULL,Monaco
NULL,NULL,NULL,Nepal
NULL,NULL,NULL,Netherlands
NULL,NULL,NULL,New Zealand
NULL,NULL,NULL,North Africa
NULL,NULL,NULL,Norway
NULL,NULL,NULL,Palestine
NULL,NULL,NULL,Papua New Guinea
NULL,NULL,NULL,Poland
NULL,NULL,NULL,Puerto Rico
NULL,NULL,NULL,Romania
NULL,NULL,NULL,Russia
NULL,NULL,NULL,Scotland
NULL,NULL,NULL,Singapore
NULL,NULL,NULL,South America
NULL,NULL,NULL,Spain
NULL,NULL,NULL,St. Martin
NULL,NULL,NULL,Sweden
NULL,NULL,NULL,Switzerland
NULL,NULL,NULL,Syria
NULL,NULL,NULL,Turkey
NULL,NULL,NULL,United States
NULL,NULL,NULL,Uruguay
NULL,NULL,NULL,Venezuela
NULL,NULL,NULL,West Africa
NULL,NULL,NULL,Westphalia
NULL,NULL,Alaska,United States
NULL,NULL,Alsace,France
NULL,NULL,Arizona,United States
NULL,NULL,Arkansas,United States
NULL,NULL,Bavaria,Germany
NULL,NULL,Bessarabia,Russia
NULL,NULL,Bologna,Italy
NULL,NULL,British Columbia,Canada
NULL,NULL,California,United States
NULL,NULL,Chrenovna,Russia
NULL,NULL,Colorado,United States
NULL,NULL,Connecticut,United States
NULL,NULL,Delaware,United States
NULL,NULL,Florida,United States
NULL,NULL,Georgia,United States
NULL,NULL,Gottingen,Germany
NULL,NULL,Hawaii,United States
NULL,NULL,Idaho,United States
NULL,NULL,Illinois,United States
NULL,NULL,Indiana,United States
NULL,NULL,Iowa,United States
NULL,NULL,Jamaica,West Indies
NULL,NULL,Kansas,United States
NULL,NULL,Kentucky,United States
NULL,NULL,London,England
NULL,NULL,Louisiana,United States
NULL,NULL,Maine,United States
NULL,NULL,Maryland,NULL
NULL,NULL,Maryland,United States
NULL,NULL,Massachusetts,United States
NULL,NULL,Michigan,United States
NULL,NULL,Mid-Atlantic States,United States
NULL,NULL,Minnesota,United States
NULL,NULL,Mississippi,NULL
NULL,NULL,Missouri,United States
NULL,NULL,Montana,United States
NULL,NULL,Montenero,Italy
NULL,NULL,Nevada,United States
NULL,NULL,New Brunswick,Canada
NULL,NULL,New England States,United States
NULL,NULL,New Hampshire,United States
NULL,NULL,New Jersey,United States
NULL,NULL,New Mexico,United States
NULL,NULL,New South Wales,Australia
NULL,NULL,New York,United States
NULL,NULL,North Carolina,United States
NULL,NULL,North Dakota,United States
NULL,NULL,Ohio,United States
NULL,NULL,Okayama-ken,Japan
NULL,NULL,Oklahoma,United States
NULL,NULL,Oregon,United States
NULL,NULL,Oudenaarde,Flanders
NULL,NULL,Pennsylvania,United States
NULL,NULL,Rhode Island,United States
NULL,NULL,Saªne-et-Loire,France
NULL,NULL,Saxony,Germany
NULL,NULL,Shizuoka,Japan
NULL,NULL,Siberia,Russia
NULL,NULL,Sicily,Italy
NULL,NULL,South Carolina,United States
NULL,NULL,Tennessee,United States
NULL,NULL,Texas,United States
NULL,NULL,Tuscany,Italy
NULL,NULL,Urbino,Italy
NULL,NULL,Venice,NULL
