type,objectnumber,value,Label,Element,ObjID,Method,Description,ISN,ObjectID
HeightIN,1962.8.76,22.875,,sheet,2,NULL,NULL,2,35
WidthCM,1962.8.76,40.64,,sheet,2,NULL,NULL,2,35
WidthIN,1962.8.76,16,,sheet,2,NULL,NULL,2,35
HeightCM,1987.24,28.575,,sheet,7,NULL,NULL,7,68
HeightCM,1977.74.7,19.05,,sheet,14,NULL,NULL,14,79
HeightCM,1988.18.5,50.8,,image,22,NULL,NULL,22,177
HeightCM,1988.18.7,50.8,,image,24,NULL,NULL,24,179
HeightCM,1987.52.1,21.2725,,image,27,NULL,NULL,27,220
HeightCM,1974.38.49,30.63875,,sheet,35,NULL,NULL,35,395
HeightCM,1986.41.3,50.64125,,sheet,43,NULL,NULL,43,529
HeightCM,1986.41.2,50.4825,,sheet,50,NULL,NULL,50,536
HeightCM,1986.41.8,50.8,,sheet,52,NULL,NULL,52,538
HeightCM,1967.127.6,63.5,,image,55,NULL,NULL,55,545
HeightCM,1967.127.8,43.18,,image,57,NULL,NULL,57,547
HeightCM,1986.37.2,54.13375,,sheet,64,NULL,NULL,64,563
HeightCM,1987.51.9,47.9425,,sheet,73,NULL,NULL,73,620
HeightCM,1971.379,31.115,,sheet,76,NULL,NULL,76,704
HeightCM,1976.103.7,41.5925,,sheet,78,NULL,NULL,78,838
HeightCM,1985.40.22,50.8,,mount,86,NULL,NULL,86,879
HeightCM,1985.40.3,50.8,,mount,88,NULL,NULL,88,881
HeightCM,1985.40.11,50.8,,mount,94,NULL,NULL,94,886
HeightCM,1985.40.9,40.64,,mount,96,NULL,NULL,96,888
HeightCM,1985.40.24,40.64,,mount,103,NULL,NULL,103,895
HeightCM,1985.40.20,50.165,,image,105,NULL,NULL,105,897
HeightCM,1985.40.20,50.165,,mount,106,NULL,NULL,106,897
HeightCM,1985.40.8,50.8,,mount,112,NULL,NULL,112,904
HeightCM,1985.40.21,50.8,,mount,114,NULL,NULL,114,906
HeightCM,1986.57.2,20.16125,,sheet,116,NULL,NULL,116,922
HeightCM,1987.52.3,24.4475,,image,125,NULL,NULL,125,1095
HeightCM,1954.13.3,148.59,,frame,131,NULL,NULL,131,1313
HeightCM,1979.33.8,24.765,,sheet,136,NULL,NULL,136,2024
HeightCM,1979.33.10,21.59,,plate,140,NULL,NULL,140,2051
HeightCM,1979.33.10,31.115,,sheet,141,NULL,NULL,141,2051
HeightCM,1984.108.4,12.22375,,image,142,NULL,NULL,142,2065
HeightCM,1984.108.1,14.12875,,image,144,NULL,NULL,144,2067
HeightCM,1988.15.26,40.9575,,mount,152,NULL,NULL,152,2167
HeightCM,1976.103.6,29.845,,sheet,156,NULL,NULL,156,2283
HeightCM,1988.18.33,76.2,,sheet,158,NULL,NULL,158,2308
HeightCM,1986.92.114.5,30.48,,sheet,164,NULL,NULL,164,2683
HeightCM,1986.45.4,19.84375,,sheet,168,NULL,NULL,168,2758
HeightCM,1987.66.2,50.8,,sheet,176,NULL,NULL,176,2842
HeightCM,1984.83.1,36.83,,sheet,181,NULL,NULL,181,2951
HeightCM,1984.83.2,22.225,,sheet,182,NULL,NULL,182,2953
HeightCM,1952.5.3,11.43,,overall,184,NULL,case (open),184,2969
